, 15-01a, 15-02a, 15-03a, 15-04a, 15-05a, 15-06a, 15-07a, 15-08a, 15-09a, 15-10a, 15-11a, 15-12a, 15-13a, 15-14a, 15-15a, 15-16a, 15-17a, 15-18a, 15-19a, 15-20a, 15-21a, 15-22a, 15-23a, 15-24a, 15-25a, 15-26a, 15-27a, 15-28a, 15-29a, 15-30a, 15-31a, 15-32a, 15-33a, 15-34a, 15-36a, 15-01b, 15-02b, 15-03b, 15-04b, 15-05b, 15-06b, 15-07b, 15-08b, 15-09b, 15-10b, 15-11b, 15-12b, 15-13b, 15-14b, 15-15b, 15-16b, 15-17b, 15-18b, 15-19b, 15-20b, 15-21b, 15-22b, 15-23b, 15-24b, 15-25b, 15-26b, 15-27b, 15-28b, 15-29b, 15-30b, 15-31b, 15-32b, 15-33b, 15-34b, 15-36b, 15-01c, 15-02c, 15-03c, 15-04c, 15-05c, 15-06c, 15-07c, 15-08c, 15-09c, 15-10c, 15-11c, 15-12c, 15-13c, 15-14c, 15-15c, 15-16c, 15-17c, 15-18c, 15-19c, 15-20c, 15-21c, 15-22c, 15-23c, 15-24c, 15-25c, 15-26c, 15-27c, 15-28c, 15-29c, 15-30c, 15-31c, 15-32c, 15-33c, 15-34c, 15-36c
1747_7.418_1279.5941,600,600,54033.88,600,14316.04,28742.58,36934.94,600,600,57283.32,21790.79,50755.16,75910.13,231479.1,25130.97,18159.28,600,192173.2,26931.66,600,48329.54,38331.84,600,600,37479.02,24936.06,58297.68,600,600,600,600,600,600,600,600,600,600,54033.88,600,14316.04,28742.58,36934.94,600,600,57283.32,21790.79,50755.16,75910.13,231479.1,25130.97,18159.28,600,192173.2,26931.66,600,48329.54,38331.84,600,600,37479.02,24936.06,58297.68,600,600,600,600,600,600,600,600,600,600,54033.88,600,14316.04,28742.58,36934.94,600,600,57283.32,21790.79,50755.16,75910.13,231479.1,25130.97,18159.28,600,192173.2,26931.66,600,48329.54,38331.84,600,600,37479.02,24936.06,58297.68,600,600,600,600,600,600,600,600
1748_6.473_1282.5786,65095,60336.83,24674.52,600,42044.49,64871.39,62374.08,600,39113.84,61153.35,72740.18,98245.06,82341.02,27979.03,94516.14,103944.6,90516.52,80358.6,94608.12,73039.63,600,600,58150.69,72305.41,68377.34,43516.8,22862.51,600,600,55287.45,26335.22,63950.2,76922.09,600,600,65095,60336.83,24674.52,600,42044.49,64871.39,62374.08,600,39113.84,61153.35,72740.18,98245.06,82341.02,27979.03,94516.14,103944.6,90516.52,80358.6,94608.12,73039.63,600,600,58150.69,72305.41,68377.34,43516.8,22862.51,600,600,55287.45,26335.22,63950.2,76922.09,600,600,65095,60336.83,24674.52,600,42044.49,64871.39,62374.08,600,39113.84,61153.35,72740.18,98245.06,82341.02,27979.03,94516.14,103944.6,90516.52,80358.6,94608.12,73039.63,600,600,58150.69,72305.41,68377.34,43516.8,22862.51,600,600,55287.45,26335.22,63950.2,76922.09,600,600
1749_7.464_1282.6117,600,84007.83,145200.5,83504.59,600,600,331641,82752,600,600,600,600,600,600,600,167623.1,106594.3,600,600,97606.15,600,600,107354.4,600,600,128911.3,600,600,125455.3,600,101125.5,600,600,600,111989.5,600,84007.83,145200.5,83504.59,600,600,331641,82752,600,600,600,600,600,600,600,167623.1,106594.3,600,600,97606.15,600,600,107354.4,600,600,128911.3,600,600,125455.3,600,101125.5,600,600,600,111989.5,600,84007.83,145200.5,83504.59,600,600,331641,82752,600,600,600,600,600,600,600,167623.1,106594.3,600,600,97606.15,600,600,107354.4,600,600,128911.3,600,600,125455.3,600,101125.5,600,600,600,111989.5
1750_7.001_1284.5976,600,9733.676,600,600,166439.4,153634.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,18374.05,600,600,600,600,600,600,600,600,26400.87,600,600,600,600,9733.676,600,600,166439.4,153634.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,18374.05,600,600,600,600,600,600,600,600,26400.87,600,600,600,600,9733.676,600,600,166439.4,153634.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,18374.05,600,600,600,600,600,600,600,600,26400.87,600,600,600
1751_7.321_1284.613,600,600,600,600,600,600,600,148522.8,600,600,600,600,600,600,130131.1,600,600,600,600,600,600,329403.8,81665.38,139189.1,600,600,600,600,120444.2,234746.4,76112.68,600,75389.12,600,600,600,600,600,600,600,600,600,148522.8,600,600,600,600,600,600,130131.1,600,600,600,600,600,600,329403.8,81665.38,139189.1,600,600,600,600,120444.2,234746.4,76112.68,600,75389.12,600,600,600,600,600,600,600,600,600,148522.8,600,600,600,600,600,600,130131.1,600,600,600,600,600,600,329403.8,81665.38,139189.1,600,600,600,600,120444.2,234746.4,76112.68,600,75389.12,600,600
1752_7.47_1287.6035,600,46463.44,600,600,600,600,600,76855.47,600,71369.08,600,600,43935.35,600,600,600,600,600,179684.9,600,600,600,600,46426.42,600,600,600,600,600,600,104355.8,600,71100.13,71805.23,600,600,46463.44,600,600,600,600,600,76855.47,600,71369.08,600,600,43935.35,600,600,600,600,600,179684.9,600,600,600,600,46426.42,600,600,600,600,600,600,104355.8,600,71100.13,71805.23,600,600,46463.44,600,600,600,600,600,76855.47,600,71369.08,600,600,43935.35,600,600,600,600,600,179684.9,600,600,600,600,46426.42,600,600,600,600,600,600,104355.8,600,71100.13,71805.23,600
1753_7.299_1288.1197,102133.5,107708.4,122366.2,156585.1,143317.4,142039.9,132227.7,133216,114264.1,135560.3,137325.6,120479.4,102641.9,135777.1,101385.2,112910.9,108338.8,118222.1,99686.01,84379.69,138056.6,145984.5,73447.84,84361.59,128122.3,113726.1,132517.7,124806.4,127500,127395.4,149699.7,83259.2,76026.13,78386.19,75372.55,102133.5,107708.4,122366.2,156585.1,143317.4,142039.9,132227.7,133216,114264.1,135560.3,137325.6,120479.4,102641.9,135777.1,101385.2,112910.9,108338.8,118222.1,99686.01,84379.69,138056.6,145984.5,73447.84,84361.59,128122.3,113726.1,132517.7,124806.4,127500,127395.4,149699.7,83259.2,76026.13,78386.19,75372.55,102133.5,107708.4,122366.2,156585.1,143317.4,142039.9,132227.7,133216,114264.1,135560.3,137325.6,120479.4,102641.9,135777.1,101385.2,112910.9,108338.8,118222.1,99686.01,84379.69,138056.6,145984.5,73447.84,84361.59,128122.3,113726.1,132517.7,124806.4,127500,127395.4,149699.7,83259.2,76026.13,78386.19,75372.55
1754_7.052_1290.5853,600,600,34952.52,600,600,600,600,600,600,93067.97,600,600,600,600,600,600,600,600,600,600,600,600,420055.3,601358.8,600,600,600,600,569914.1,600,691390.4,600,455475.5,600,422947.8,600,600,34952.52,600,600,600,600,600,600,93067.97,600,600,600,600,600,600,600,600,600,600,600,600,420055.3,601358.8,600,600,600,600,569914.1,600,691390.4,600,455475.5,600,422947.8,600,600,34952.52,600,600,600,600,600,600,93067.97,600,600,600,600,600,600,600,600,600,600,600,600,420055.3,601358.8,600,600,600,600,569914.1,600,691390.4,600,455475.5,600,422947.8
1755_7.194_1293.607,69668.63,104930.7,600,600,600,61199.14,37201.96,140152.8,600,600,600,69606.6,408080.4,600,600,600,69252.87,45557.3,57648.6,108859.7,600,600,600,600,600,479636.8,600,67372.21,600,428290.9,600,415119.5,600,600,600,69668.63,104930.7,600,600,600,61199.14,37201.96,140152.8,600,600,600,69606.6,408080.4,600,600,600,69252.87,45557.3,57648.6,108859.7,600,600,600,600,600,479636.8,600,67372.21,600,428290.9,600,415119.5,600,600,600,69668.63,104930.7,600,600,600,61199.14,37201.96,140152.8,600,600,600,69606.6,408080.4,600,600,600,69252.87,45557.3,57648.6,108859.7,600,600,600,600,600,479636.8,600,67372.21,600,428290.9,600,415119.5,600,600,600
1756_6.647_1294.5802,206531.2,243530.7,261914.1,600,600,276282.8,283306.5,600,181640.9,267961.3,600,239602.4,600,264641.9,266387.7,266457.8,255433.4,259397.8,241997.6,258522.4,600,600,268649.4,247093.4,600,600,600,289077,600,600,600,234051.3,251688.8,262406.6,279362.4,206531.2,243530.7,261914.1,600,600,276282.8,283306.5,600,181640.9,267961.3,600,239602.4,600,264641.9,266387.7,266457.8,255433.4,259397.8,241997.6,258522.4,600,600,268649.4,247093.4,600,600,600,289077,600,600,600,234051.3,251688.8,262406.6,279362.4,206531.2,243530.7,261914.1,600,600,276282.8,283306.5,600,181640.9,267961.3,600,239602.4,600,264641.9,266387.7,266457.8,255433.4,259397.8,241997.6,258522.4,600,600,268649.4,247093.4,600,600,600,289077,600,600,600,234051.3,251688.8,262406.6,279362.4
1757_6.871_1294.5859,600,600,600,294442.3,16922.85,600,37248.3,600,600,19036.29,18353.51,600,319734.7,600,600,38457.28,23176.05,600,600,12311.5,392682.5,26409.33,16425.52,600,306779.1,600,12411.73,722750.3,299378.5,600,600,600,600,600,600,600,600,600,294442.3,16922.85,600,37248.3,600,600,19036.29,18353.51,600,319734.7,600,600,38457.28,23176.05,600,600,12311.5,392682.5,26409.33,16425.52,600,306779.1,600,12411.73,722750.3,299378.5,600,600,600,600,600,600,600,600,600,294442.3,16922.85,600,37248.3,600,600,19036.29,18353.51,600,319734.7,600,600,38457.28,23176.05,600,600,12311.5,392682.5,26409.33,16425.52,600,306779.1,600,12411.73,722750.3,299378.5,600,600,600,600,600,600
1758_6.589_1295.5887,600,600,600,600,600,600,19022.12,600,98185.95,600,600,711411.2,600,64628.42,600,41470.18,600,69301.38,57083.24,44693.66,600,600,600,600,600,600,600,600,600,600,600,47506.38,26230.26,600,600,600,600,600,600,600,600,19022.12,600,98185.95,600,600,711411.2,600,64628.42,600,41470.18,600,69301.38,57083.24,44693.66,600,600,600,600,600,600,600,600,600,600,600,47506.38,26230.26,600,600,600,600,600,600,600,600,19022.12,600,98185.95,600,600,711411.2,600,64628.42,600,41470.18,600,69301.38,57083.24,44693.66,600,600,600,600,600,600,600,600,600,600,600,47506.38,26230.26,600,600
1759_6.639_1297.6016,515707.4,661758.5,816179,926727.3,924735,957132.1,726701,924293.9,662347.6,716895.3,805383,600,725705.5,759870.9,705087.6,686837.5,573195.8,806669.6,704316.8,727572.3,600,809350.9,635915.6,718539.1,720639.3,656444.8,863392.5,600,857959.4,437585.6,869854.8,625718.4,624497.6,703622.7,661556.3,515707.4,661758.5,816179,926727.3,924735,957132.1,726701,924293.9,662347.6,716895.3,805383,600,725705.5,759870.9,705087.6,686837.5,573195.8,806669.6,704316.8,727572.3,600,809350.9,635915.6,718539.1,720639.3,656444.8,863392.5,600,857959.4,437585.6,869854.8,625718.4,624497.6,703622.7,661556.3,515707.4,661758.5,816179,926727.3,924735,957132.1,726701,924293.9,662347.6,716895.3,805383,600,725705.5,759870.9,705087.6,686837.5,573195.8,806669.6,704316.8,727572.3,600,809350.9,635915.6,718539.1,720639.3,656444.8,863392.5,600,857959.4,437585.6,869854.8,625718.4,624497.6,703622.7,661556.3
1760_7.425_1297.6086,600,77143.27,83611.84,600,600,600,600,600,600,124250.6,600,46443.7,304907.2,28714.09,600,600,600,600,90091.79,92682.58,49389.12,600,50901.21,27705.21,40926.92,600,71836.13,600,600,600,46555.2,600,92110.12,600,600,600,77143.27,83611.84,600,600,600,600,600,600,124250.6,600,46443.7,304907.2,28714.09,600,600,600,600,90091.79,92682.58,49389.12,600,50901.21,27705.21,40926.92,600,71836.13,600,600,600,46555.2,600,92110.12,600,600,600,77143.27,83611.84,600,600,600,600,600,600,124250.6,600,46443.7,304907.2,28714.09,600,600,600,600,90091.79,92682.58,49389.12,600,50901.21,27705.21,40926.92,600,71836.13,600,600,600,46555.2,600,92110.12,600,600
1761_7.12_1298.6125,600,600,600,600,600,600,600,252464.2,600,600,600,600,600,455803.8,25243.68,600,477204.3,600,600,600,370257.8,600,600,70281.57,600,14226.17,600,600,79252.91,96156.2,600,600,600,600,247090.5,600,600,600,600,600,600,600,252464.2,600,600,600,600,600,455803.8,25243.68,600,477204.3,600,600,600,370257.8,600,600,70281.57,600,14226.17,600,600,79252.91,96156.2,600,600,600,600,247090.5,600,600,600,600,600,600,600,252464.2,600,600,600,600,600,455803.8,25243.68,600,477204.3,600,600,600,370257.8,600,600,70281.57,600,14226.17,600,600,79252.91,96156.2,600,600,600,600,247090.5
1762_7.334_1299.1142,600,600,49166.35,600,40863.77,70035.27,9308.234,33491.89,157315.5,5969.259,98988.16,79496.17,103371.1,56986.38,91321.47,3913.51,600,7804.156,88979.69,600,600,600,600,57967.98,50816.28,10310.62,9518.904,600,600,600,31922.78,600,600,600,30943.18,600,600,49166.35,600,40863.77,70035.27,9308.234,33491.89,157315.5,5969.259,98988.16,79496.17,103371.1,56986.38,91321.47,3913.51,600,7804.156,88979.69,600,600,600,600,57967.98,50816.28,10310.62,9518.904,600,600,600,31922.78,600,600,600,30943.18,600,600,49166.35,600,40863.77,70035.27,9308.234,33491.89,157315.5,5969.259,98988.16,79496.17,103371.1,56986.38,91321.47,3913.51,600,7804.156,88979.69,600,600,600,600,57967.98,50816.28,10310.62,9518.904,600,600,600,31922.78,600,600,600,30943.18
1763_7.453_1301.6106,264488.9,600,600,600,600,600,600,600,600,600,600,71942.32,8685.286,64083.91,600,53749.76,600,600,600,600,185524.7,600,600,600,89318.35,10995.03,8411.369,600,600,600,600,600,600,600,600,264488.9,600,600,600,600,600,600,600,600,600,600,71942.32,8685.286,64083.91,600,53749.76,600,600,600,600,185524.7,600,600,600,89318.35,10995.03,8411.369,600,600,600,600,600,600,600,600,264488.9,600,600,600,600,600,600,600,600,600,600,71942.32,8685.286,64083.91,600,53749.76,600,600,600,600,185524.7,600,600,600,89318.35,10995.03,8411.369,600,600,600,600,600,600,600,600
1764_7.52_1302.6153,600,81577.81,72778.52,600,49946.08,42699.12,600,67577.48,72788.27,31842.98,600,600,600,600,34248.06,106423.3,55379.68,24631.09,600,600,53617.05,600,72677.89,49352.71,600,284233.5,115198.9,84014.87,80981.09,600,600,600,600,23672.04,600,600,81577.81,72778.52,600,49946.08,42699.12,600,67577.48,72788.27,31842.98,600,600,600,600,34248.06,106423.3,55379.68,24631.09,600,600,53617.05,600,72677.89,49352.71,600,284233.5,115198.9,84014.87,80981.09,600,600,600,600,23672.04,600,600,81577.81,72778.52,600,49946.08,42699.12,600,67577.48,72788.27,31842.98,600,600,600,600,34248.06,106423.3,55379.68,24631.09,600,600,53617.05,600,72677.89,49352.71,600,284233.5,115198.9,84014.87,80981.09,600,600,600,600,23672.04,600
1765_7.321_1304.6059,600,600,600,600,80980.31,88326.03,600,600,600,77887.23,600,600,600,600,600,600,86586.83,63771.83,600,600,600,600,600,600,600,132772.1,600,114580.6,123979.5,600,79553.35,600,58076.48,600,83711.28,600,600,600,600,80980.31,88326.03,600,600,600,77887.23,600,600,600,600,600,600,86586.83,63771.83,600,600,600,600,600,600,600,132772.1,600,114580.6,123979.5,600,79553.35,600,58076.48,600,83711.28,600,600,600,600,80980.31,88326.03,600,600,600,77887.23,600,600,600,600,600,600,86586.83,63771.83,600,600,600,600,600,600,600,132772.1,600,114580.6,123979.5,600,79553.35,600,58076.48,600,83711.28
1766_7.6_1305.6181,600,600,63135.99,121315,600,120779.1,134919.9,600,88834.55,102915.9,151322.3,6850.396,140172.5,63392.61,600,600,600,600,600,110150,168417.6,600,600,228067.7,600,90134.54,600,600,600,600,600,600,600,600,600,600,600,63135.99,121315,600,120779.1,134919.9,600,88834.55,102915.9,151322.3,6850.396,140172.5,63392.61,600,600,600,600,600,110150,168417.6,600,600,228067.7,600,90134.54,600,600,600,600,600,600,600,600,600,600,600,63135.99,121315,600,120779.1,134919.9,600,88834.55,102915.9,151322.3,6850.396,140172.5,63392.61,600,600,600,600,600,110150,168417.6,600,600,228067.7,600,90134.54,600,600,600,600,600,600,600,600,600
1767_6.77_1308.5957,600,326915.9,600,116033.8,600,600,301406.9,141841.1,325658.7,377569.9,600,346741.3,293738.2,330133.6,295549,233893.5,181707.2,303953.2,369058.9,307238.2,600,600,258668.6,295082.4,332022.3,319797.6,600,117942.8,600,139806.4,107351.3,187312.3,254597.8,206328.6,286760.2,600,326915.9,600,116033.8,600,600,301406.9,141841.1,325658.7,377569.9,600,346741.3,293738.2,330133.6,295549,233893.5,181707.2,303953.2,369058.9,307238.2,600,600,258668.6,295082.4,332022.3,319797.6,600,117942.8,600,139806.4,107351.3,187312.3,254597.8,206328.6,286760.2,600,326915.9,600,116033.8,600,600,301406.9,141841.1,325658.7,377569.9,600,346741.3,293738.2,330133.6,295549,233893.5,181707.2,303953.2,369058.9,307238.2,600,600,258668.6,295082.4,332022.3,319797.6,600,117942.8,600,139806.4,107351.3,187312.3,254597.8,206328.6,286760.2
1768_7.069_1308.5983,476171.7,493582.8,643627.1,600,669330.8,628126,565138.2,615129.8,539068.4,575973.8,625897.6,657916.3,121125.5,635383.4,600463.4,514015.6,590749.2,664904.9,621639.7,581180.1,623196.3,593129.3,600,600,621701.8,600,800702.3,600,600,67120.67,600,600,600,420407.5,600,476171.7,493582.8,643627.1,600,669330.8,628126,565138.2,615129.8,539068.4,575973.8,625897.6,657916.3,121125.5,635383.4,600463.4,514015.6,590749.2,664904.9,621639.7,581180.1,623196.3,593129.3,600,600,621701.8,600,800702.3,600,600,67120.67,600,600,600,420407.5,600,476171.7,493582.8,643627.1,600,669330.8,628126,565138.2,615129.8,539068.4,575973.8,625897.6,657916.3,121125.5,635383.4,600463.4,514015.6,590749.2,664904.9,621639.7,581180.1,623196.3,593129.3,600,600,621701.8,600,800702.3,600,600,67120.67,600,600,600,420407.5,600
1769_7.232_1308.6085,600,600,600,694823.1,600,600,600,600,28671.65,600,600,600,600,600,600,600,600,600,16699.67,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,694823.1,600,600,600,600,28671.65,600,600,600,600,600,600,600,600,600,16699.67,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,694823.1,600,600,600,600,28671.65,600,600,600,600,600,600,600,600,600,16699.67,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
1770_6.842_1309.6014,287530.7,600,600,600,600,600,600,600,600,600,600,600,87246.34,600,600,600,600,600,600,600,132384.9,119669.6,600,600,600,600,268134.4,102110.1,108001,136566,600,75804.13,600,600,600,287530.7,600,600,600,600,600,600,600,600,600,600,600,87246.34,600,600,600,600,600,600,600,132384.9,119669.6,600,600,600,600,268134.4,102110.1,108001,136566,600,75804.13,600,600,600,287530.7,600,600,600,600,600,600,600,600,600,600,600,87246.34,600,600,600,600,600,600,600,132384.9,119669.6,600,600,600,600,268134.4,102110.1,108001,136566,600,75804.13,600,600,600
1771_3.981_1310.5742,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1664883,600,600,600,600,600,600,600,600,600,1613751,1461611,1536946,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1664883,600,600,600,600,600,600,600,600,600,1613751,1461611,1536946,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1664883,600,600,600,600,600,600,600,600,600,1613751,1461611,1536946
1772_3.9_1310.5744,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,909760,600,600,600,600,600,600,600,600,600,879497.8,863030.6,880271.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,909760,600,600,600,600,600,600,600,600,600,879497.8,863030.6,880271.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,909760,600,600,600,600,600,600,600,600,600,879497.8,863030.6,880271.1
1773_6.418_1310.5853,600,346464.2,600,600,9470.025,600,409309.1,600,600,600,495694.3,479814.2,10495.13,168210.7,16134.55,600,600,422814.9,600,600,600,600,420514.5,600,73087.09,337174.8,102979.7,600,38408,600,54826.61,600,438468.1,600,401614.9,600,346464.2,600,600,9470.025,600,409309.1,600,600,600,495694.3,479814.2,10495.13,168210.7,16134.55,600,600,422814.9,600,600,600,600,420514.5,600,73087.09,337174.8,102979.7,600,38408,600,54826.61,600,438468.1,600,401614.9,600,346464.2,600,600,9470.025,600,409309.1,600,600,600,495694.3,479814.2,10495.13,168210.7,16134.55,600,600,422814.9,600,600,600,600,420514.5,600,73087.09,337174.8,102979.7,600,38408,600,54826.61,600,438468.1,600,401614.9
1774_6.654_1312.5916,600,600,600,600,287915.1,332045.7,600,308589.3,600,600,341588.3,600,600,11220.66,33870.1,600,600,600,2181.093,600,254517,8202.925,2338.139,35671.02,7518.718,9752.793,286361.8,22646.18,7698.115,316123.4,300202.6,33742.38,25137.94,600,600,600,600,600,600,287915.1,332045.7,600,308589.3,600,600,341588.3,600,600,11220.66,33870.1,600,600,600,2181.093,600,254517,8202.925,2338.139,35671.02,7518.718,9752.793,286361.8,22646.18,7698.115,316123.4,300202.6,33742.38,25137.94,600,600,600,600,600,600,287915.1,332045.7,600,308589.3,600,600,341588.3,600,600,11220.66,33870.1,600,600,600,2181.093,600,254517,8202.925,2338.139,35671.02,7518.718,9752.793,286361.8,22646.18,7698.115,316123.4,300202.6,33742.38,25137.94,600,600
1775_6.737_1314.6038,149809,600,600,600,600,600,600,600,215495.9,600,600,137428.1,600,600,210648.3,236444.8,203316.8,600,600,211094.7,600,600,600,68010.94,600,600,600,600,600,600,600,81497.57,600,216476,600,149809,600,600,600,600,600,600,600,215495.9,600,600,137428.1,600,600,210648.3,236444.8,203316.8,600,600,211094.7,600,600,600,68010.94,600,600,600,600,600,600,600,81497.57,600,216476,600,149809,600,600,600,600,600,600,600,215495.9,600,600,137428.1,600,600,210648.3,236444.8,203316.8,600,600,211094.7,600,600,600,68010.94,600,600,600,600,600,600,600,81497.57,600,216476,600
1776_6.888_1320.5954,339561.8,329938.4,200676.5,223975.5,93444.27,600,388047.1,600,264069.6,415966.6,500468.7,396464.6,440816.3,600,432825.7,416949.5,600,441282.9,353812.5,397247.7,182666.9,600,215040.5,600,426823.1,380469.8,203028.6,283749.2,166531.4,600,600,415584.8,600,600,600,339561.8,329938.4,200676.5,223975.5,93444.27,600,388047.1,600,264069.6,415966.6,500468.7,396464.6,440816.3,600,432825.7,416949.5,600,441282.9,353812.5,397247.7,182666.9,600,215040.5,600,426823.1,380469.8,203028.6,283749.2,166531.4,600,600,415584.8,600,600,600,339561.8,329938.4,200676.5,223975.5,93444.27,600,388047.1,600,264069.6,415966.6,500468.7,396464.6,440816.3,600,432825.7,416949.5,600,441282.9,353812.5,397247.7,182666.9,600,215040.5,600,426823.1,380469.8,203028.6,283749.2,166531.4,600,600,415584.8,600,600,600
1777_6.878_1320.596,600,600,600,600,117625.5,117292.6,96411.2,115034,108732,600,600,600,600,600,600,600,55826.09,600,600,61551.04,600,600,600,78452.22,600,600,600,600,600,132483.2,127354.5,600,600,129397,600,600,600,600,600,117625.5,117292.6,96411.2,115034,108732,600,600,600,600,600,600,600,55826.09,600,600,61551.04,600,600,600,78452.22,600,600,600,600,600,132483.2,127354.5,600,600,129397,600,600,600,600,600,117625.5,117292.6,96411.2,115034,108732,600,600,600,600,600,600,600,55826.09,600,600,61551.04,600,600,600,78452.22,600,600,600,600,600,132483.2,127354.5,600,600,129397,600
1778_6.87_1322.6084,71276.36,600,600,82148.8,600,101695.8,600,77120.96,54542.22,600,600,600,137892.9,80426.2,98921.34,600,600,63616.86,600,600,600,137523,600,600,600,51425.57,108852.1,600,600,600,71749.55,73614.79,35129.77,63069.81,62572.46,71276.36,600,600,82148.8,600,101695.8,600,77120.96,54542.22,600,600,600,137892.9,80426.2,98921.34,600,600,63616.86,600,600,600,137523,600,600,600,51425.57,108852.1,600,600,600,71749.55,73614.79,35129.77,63069.81,62572.46,71276.36,600,600,82148.8,600,101695.8,600,77120.96,54542.22,600,600,600,137892.9,80426.2,98921.34,600,600,63616.86,600,600,600,137523,600,600,600,51425.57,108852.1,600,600,600,71749.55,73614.79,35129.77,63069.81,62572.46
1779_7.512_1322.6171,600,59561.4,600,600,600,73449.5,600,21014.07,600,149632.5,600,78651.96,67406.64,600,29125.1,25813.13,13336.34,600,600,600,24334.21,32372.66,600,600,30025.53,32984.74,28033.84,600,600,600,64614.71,600,106981.2,52213.58,37941.32,600,59561.4,600,600,600,73449.5,600,21014.07,600,149632.5,600,78651.96,67406.64,600,29125.1,25813.13,13336.34,600,600,600,24334.21,32372.66,600,600,30025.53,32984.74,28033.84,600,600,600,64614.71,600,106981.2,52213.58,37941.32,600,59561.4,600,600,600,73449.5,600,21014.07,600,149632.5,600,78651.96,67406.64,600,29125.1,25813.13,13336.34,600,600,600,24334.21,32372.66,600,600,30025.53,32984.74,28033.84,600,600,600,64614.71,600,106981.2,52213.58,37941.32
1780_7.535_1322.631,44690.97,73929.41,52396.25,11557.04,4037.483,600,600,192857.7,2658.596,50037.42,600,3561.384,600,254955.5,600,600,185941.1,600,600,600,600,33898.79,600,26020.54,600,2402.986,2063.31,600,600,600,600,600,600,600,600,44690.97,73929.41,52396.25,11557.04,4037.483,600,600,192857.7,2658.596,50037.42,600,3561.384,600,254955.5,600,600,185941.1,600,600,600,600,33898.79,600,26020.54,600,2402.986,2063.31,600,600,600,600,600,600,600,600,44690.97,73929.41,52396.25,11557.04,4037.483,600,600,192857.7,2658.596,50037.42,600,3561.384,600,254955.5,600,600,185941.1,600,600,600,600,33898.79,600,26020.54,600,2402.986,2063.31,600,600,600,600,600,600,600,600
1781_7.357_1323.1294,48841.44,85873.37,600,56332.23,600,600,600,81574.2,600,16587.57,75344.66,600,55915.61,12640.97,600,600,600,90482.86,106726.2,52560.78,53968.12,600,46842.04,600,600,600,600,600,600,600,600,600,39975.33,52561.69,1676.26,48841.44,85873.37,600,56332.23,600,600,600,81574.2,600,16587.57,75344.66,600,55915.61,12640.97,600,600,600,90482.86,106726.2,52560.78,53968.12,600,46842.04,600,600,600,600,600,600,600,600,600,39975.33,52561.69,1676.26,48841.44,85873.37,600,56332.23,600,600,600,81574.2,600,16587.57,75344.66,600,55915.61,12640.97,600,600,600,90482.86,106726.2,52560.78,53968.12,600,46842.04,600,600,600,600,600,600,600,600,600,39975.33,52561.69,1676.26
1782_7.549_1323.6211,600,600,600,600,56582.12,600,600,600,600,600,600,600,19441.72,600,600,600,19122.98,87562.61,104430.8,600,58815.59,600,600,14873.45,279625.2,600,600,600,600,73239.81,600,600,600,112412.5,16309.91,600,600,600,600,56582.12,600,600,600,600,600,600,600,19441.72,600,600,600,19122.98,87562.61,104430.8,600,58815.59,600,600,14873.45,279625.2,600,600,600,600,73239.81,600,600,600,112412.5,16309.91,600,600,600,600,56582.12,600,600,600,600,600,600,600,19441.72,600,600,600,19122.98,87562.61,104430.8,600,58815.59,600,600,14873.45,279625.2,600,600,600,600,73239.81,600,600,600,112412.5,16309.91
1783_7.133_1324.6151,600,41966.91,600,87531.2,600,45275.48,73755.17,600,39120.25,600,600,600,600,112442.9,63382.57,106238.7,89871.41,46349.78,600,62639.88,59668.81,115627.1,600,600,88655.06,29518.61,181102.8,600,88003.68,600,600,600,107467.3,600,600,600,41966.91,600,87531.2,600,45275.48,73755.17,600,39120.25,600,600,600,600,112442.9,63382.57,106238.7,89871.41,46349.78,600,62639.88,59668.81,115627.1,600,600,88655.06,29518.61,181102.8,600,88003.68,600,600,600,107467.3,600,600,600,41966.91,600,87531.2,600,45275.48,73755.17,600,39120.25,600,600,600,600,112442.9,63382.57,106238.7,89871.41,46349.78,600,62639.88,59668.81,115627.1,600,600,88655.06,29518.61,181102.8,600,88003.68,600,600,600,107467.3,600,600
