Compound Nme, 13 01, 13 02, 13 03, 13 04, 13 05, 13 06, 13 07, 13 08, 13 09, 13 10, 13 11, 13 12, 13 13, 13 14, 13 15, 13 16, 13 17, 13 18, 13 19, 13 20, 13 21, 13 22, 13 23, 13 24, 13 25, 13 26, 13 27, 13 28, 13 29, 13 30, 13 31, 13 32, 13 33, 13 34, 13 36, 14 01, 14 02, 14 03, 14 04, 14 05, 14 06, 14 07, 14 08, 14 09, 14 10, 14 11, 14 12, 14 13, 14 14, 14 15, 14 16, 14 17, 14 18, 14 19, 14 20, 14 21, 14 22, 14 23, 14 24, 14 25, 14 26, 14 27, 14 28, 14 29, 14 30, 14 31, 14 32, 14 33, 14 34, 14 36, 15-01, 15-02, 15-03, 15-04, 15-05, 15-06, 15-07, 15-08, 15-09, 15-10, 15-11, 15-12, 15-13, 15-14, 15-15, 15-16, 15-17, 15-18, 15-19, 15-20, 15-21, 15-22, 15-23, 15-24, 15-25, 15-26, 15-27, 15-28, 15-29, 15-30, 15-31, 15-32, 15-33, 15-34, 15-36
1691_6.614_1179.5404,600,46636.89,61454.57,600,600,52326.18,600,48295.58,600,37478.48,46361.19,600,600,600,600,600,600,56518.48,43313.23,600,43675.29,600,34571.11,35401.71,600,39877.07,600,46627.55,35512.07,20011.52,600,6579.426,600,57776.04,59745.3,600,600,37423.32,68024.01,138620.6,15796.65,600,600,43319.09,600,600,55234.55,35800.77,34564.11,600,600,64936.26,600,14997.07,32393.54,43102.86,37705.74,45690.68,600,39095.59,600,59259.84,43601.35,600,600,600,42391.58,600,600,33985.95,46957.41,600,71840,600,78341.27,147762.9,188986.1,600,600,43764.19,600,600,600,52851.34,600,600,600,47415.36,52676.64,600,600,49551.9,600,66491.62,600,600,74248.31,36328.75,50085.48,32556.09,83103.3,600,600,78119.59,59558.78
1692_6.667_1180.5456,600,600,600,600,600,36605.24,600,600,600,17036.25,600,600,600,600,228970.6,600,600,188281.9,73131.98,600,36949.14,600,600,600,600,600,600,600,32384.98,600,600,147945.3,600,600,600,600,275655,64562.73,600,600,600,600,600,230302.6,297843.6,600,600,600,600,600,600,57124.43,600,600,600,600,436289.4,600,600,600,600,600,600,600,59127.38,600,600,600,600,600,56197.82,600,144094.5,600,67074.26,57881.07,223144.5,155580,600,600,600,600,600,600,600,600,600,195259.7,600,600,40395.31,150098.6,600,600,600,600,600,600,41465.04,600,117463.5,247307.5,600,600,600
1693_6.392_1182.5283,600,663176.4,600,600,600,443161.6,600,600,629735.2,600,600,600,268228.6,600,267581.7,600,238102.6,257625.6,259378,600,251686.1,295839.1,600,8177.852,600,600,600,600,600,251992.7,250658.3,600,253740.8,256906.2,606382.6,559207.6,242255.5,600,600,600,600,600,600,600,260861.6,600,600,600,408103.9,257930.5,230403.4,600,254560.2,116216.5,600,600,600,237021,275558.6,600,507508.5,240968.2,600,600,600,600,600,600,600,600,447186.2,529429.8,600,600,600,600,215459.3,402050.5,600,600,600,600,600,715487.5,643954.8,436449.8,600,266364.2,682629.7,239174.7,600,600,600,600,649685.9,371174.2,600,236080,600,600,600,600,600,239560.3,224264.2
1694_6.374_1182.5293,600,49302.71,17354.03,600,600,600,600,600,600,600,600,174027.1,600,77840.33,600,600,600,600,600,600,600,600,600,110398.8,9200.363,600,196505.6,16072.9,600,37303.52,61107.37,600,600,600,600,600,600,116901.1,600,600,173355.2,600,130538.6,600,600,157293.5,3616.023,600,131077.6,600,600,600,600,124970,600,600,600,600,15037.85,131462.9,600,140242.3,600,78529.48,600,600,87786.58,16284.75,85073.77,600,600,61167.18,600,600,2610.59,600,600,600,101087.7,600,600,66462.05,102598,76820.73,600,206843,600,600,96979.38,600,111528.3,600,44731.84,600,600,600,132966.9,600,49823.9,63657.29,83756.78,600,78786.83,600,600
1695_6.825_1186.5883,600,38883.04,70554.19,92973.02,600,9148.77,600,600,66233.02,61143.16,116458.4,600,600,119850.9,141799.8,600,600,600,600,600,600,600,600,600,101099.5,103961.5,600,51263.88,30836.36,50035.25,600,600,600,126691.4,41271.2,17951.18,600,17965.09,600,600,600,600,600,93154.39,600,600,31666.53,94967.84,21286.28,600,600,52825.34,95140.59,9596.597,600,140359,600,600,35928.21,24303.87,600,600,125230.9,8619.486,84067.07,600,111850.6,600,600,600,151338.8,600,600,600,127632.9,600,9266.177,600,3405.268,600,48279.98,20765.95,132942.8,600,600,128886,107220.2,600,122929.8,123132.5,7065.277,600,600,122279.8,600,600,600,116472.9,3682.171,6575.24,108971.7,129271.3,600,600,1603.296
1696_6.783_1190.5327,398762.1,268307.4,603477.6,527151.8,600,364138,550036.9,512760.4,453978.8,248657.1,631537.3,516595.9,650505.8,606230.8,720025.1,685770.8,600,777643.1,600622.8,338326,304450.2,648292.8,449475.2,396704.2,683746.6,723501.4,516083.5,235172.9,600,151391.8,630042.3,724212.4,486807.6,638856.3,547084.2,243442.5,802506.3,228789.8,572536.5,296958.9,600,730772.4,474119.1,654276.8,591925.3,459372.6,459783.6,630346.2,368469.5,677726,682817.3,385176.7,600,600,670830.7,632746.2,711981.6,600,600,184589.4,684375,764362.6,599476.6,543968.9,538744.9,587113.5,689443.1,681158.7,738191.6,661665.2,600,490328.7,335581.5,253996.5,600,202622.3,600,268266.9,485682.1,626570.1,667502.4,600,600,600,627148.5,116282.6,549269.5,547527.5,600,522603.6,309686.4,600,600,645735.2,607013.6,600,501558,387290.5,197961,158486.6,433680.7,476898.6,600,478216.1,261525.8
1697_6.636_1196.5439,378089.7,600,405976.9,396593.5,600,600,600,261241.4,388599.2,236522.6,456307.5,353636.7,462839.6,460271.6,232876.4,408318.9,448794,245077.9,256671.7,232567.2,155350.8,517742.8,314765.1,371481.4,435499.2,388177.4,285582.6,342778.3,600,256758,435303.7,297279.7,481132.1,391411.5,362352.3,236463.9,600,277481.9,407953.6,600,89228.75,471799.4,374953.1,192374.4,600,187309.4,600,461745.1,267668.3,396564,461946.2,600,472263.6,242612.5,456259.4,472245,600,429510.8,354885.2,244236.2,395768.8,351908.5,391798.1,414370.7,212446.5,395012.7,17253.05,403495.3,503981.1,419731.4,338517.3,360008.1,600,95770.53,600,600,600,233976.8,370422.5,402096.8,448085.8,479921.6,398734.1,427142.4,411245.3,411136.1,427248.4,600,406220.8,411623.8,198839.8,600,327752,344912.3,410696.2,395826.2,600,229449.1,136172.7,600,600,600,382605.2,341482.8,341776.4
1698_7.143_1196.5669,600,39373.79,600,62002.19,600,600,17864.27,600,600,22889.93,600,200549.9,600,600,600,254664.8,600,600,19051.61,6505.101,74513.43,600,132587.5,600,31733.84,600,600,85995.33,600,600,600,600,600,600,600,600,600,600,600,6800.253,600,600,104335.8,600,27441.24,600,600,600,28613.12,600,7030.69,24161.4,88436.38,77733,11588.19,600,600,600,21282.96,7003.091,600,63889.69,245238.2,102709.5,600,600,600,600,15533.71,600,600,600,39404.46,67448.43,31025.89,600,600,600,19457.45,600,126353.9,600,16917.91,600,31182.78,66581.83,600,71205.64,105229.6,77334.04,600,58663.62,600,28673.5,600,600,600,600,80447.43,600,32842.17,600,600,600,14865.93
1699_7.365_1198.5689,222349.5,600,600,277349.8,600,90872.27,600,600,600,24652.95,267825.4,600,288798.5,221824.8,600,600,600,279999.9,600,600,600,268352.7,36885.33,28083.29,600,312788.9,600,40999.04,600,24467.28,250483.7,600,600,264286.3,600,105635.8,600,108295.5,180555.6,46241.11,44615.88,213230.3,230879.9,600,286427.3,176192.3,205173.9,600,36317.98,231958.8,201964.3,24673.92,158130.8,19670.61,228528.8,195797.9,174192.7,151344.1,103819.7,600,186968.4,126042.3,15742.52,600,600,230416.7,600,600,137074.6,600,600,600,99023.08,196492.1,133401,312886.9,132968.1,114934.9,172068.2,600,95187.67,164646.8,600,160516.4,203244,600,600,197918.4,24590.18,600,600,152675.5,106147.7,600,139008.7,600,165623.5,112534.8,141924.8,111079.8,152349.2,600,154500.8,600,600
1700_7.359_1198.5776,600,600,236624.5,600,600,600,256715.7,207158.4,215564.5,600,600,600,600,600,600,600,245658.9,600,235165.6,186032,600,600,600,600,179190,600,22779.76,600,600,93217.8,600,195532.3,37823.27,600,198854.3,600,222515.8,600,600,600,600,600,600,183384.3,600,600,600,258011.2,600,600,600,79269.05,600,600,600,600,600,600,600,600,600,600,600,247895.8,243431.7,600,223073.5,195611.6,600,184563.9,146970.3,600,600,600,600,600,600,600,600,178870.3,25714.26,600,600,600,600,600,600,600,197719.2,600,139376.1,600,600,153935.8,600,600,600,600,600,600,600,142318,600,146081.6,92593.7
1701_7.379_1199.067,87816.11,600,69960.61,600,600,48927.64,58065.02,600,600,600,78700.09,600,600,600,82083.04,71150.87,600,19771.64,600,66347.6,600,57477.92,600,600,600,125922.1,90748.38,16790.35,41207.75,600,600,95752.21,600,81436.93,3958.419,5138.167,81407.87,600,73080.46,600,42320.86,87555.8,76777.77,47442.04,93949.79,71812.53,62404.52,57664.65,600,600,68255.53,600,88130.22,600,60700.32,600,600,600,600,33334.21,600,600,600,56400.92,71012.2,101059.6,70136.25,600,69675.72,67364.91,69229.18,600,62124.6,91722.72,66530.61,45388.73,64557.93,77739.53,600,600,600,71827.03,82574.59,88779.69,58428.47,600,600,78634.95,66891.05,600,600,20334.42,22027,600,600,600,600,61354.07,54134.42,17445.91,600,55559.5,28268.64,42495.77,33309.5
1702_7.385_1200.0873,63297.66,33988.51,55501.76,29965.55,41372.76,46940.1,86212.17,600,45896.79,49603.28,41641.5,52737.04,84767.77,80177.7,80928.55,71472.97,64114.69,79034.1,62340.13,49081.32,35486.6,90465.9,600,54939.25,38164.65,51482.72,62149.66,42727.08,42390.43,33274.03,75176.83,55815.05,600,71398.02,46994.42,12530.6,55956.3,35982.35,77133.63,600,26109.02,69393.2,76318.03,81327.96,71889.63,75897.5,53043.47,57507.72,600,68061.86,76436.88,10001.72,62546.28,47555.24,76857.95,52317.28,23489.32,67073.09,21136.63,42053.79,74242.66,56745.47,29266.03,72213.34,80239.64,54815.27,50065.33,3838.01,41002.23,47127.99,62710.66,600,56100.65,62301.91,61150.18,58338.82,76292.19,65072.04,65488.49,64055.86,65575.66,71017.92,75100.27,600,73488.27,57659.54,13274.98,49534.31,72235.3,62319.75,50011.95,46681.16,43517.95,60821.71,69777.75,62799.45,56833.27,46272.33,44473.66,23243.25,52218.52,59271.71,42213.63,44753.59,49991.38
1703_6.707_1206.5276,600,12813.27,600,75961.8,12641.67,600,600,600,38770.69,600,59052.51,600,64963.27,66132.27,600,17026.63,72090.33,56947.88,600,7050.189,6237.937,600,21810.16,29043.14,53932.14,55764.29,600,9035.816,600,600,85324.12,57274.07,600,83026.38,61104.86,21017.49,48090.99,4511.439,600,3059.493,4594.82,600,600,85303.39,8283.502,18049.79,600,600,600,51833.46,9026.48,12325.95,74137.69,5369.324,600,86525.75,52041.4,88113.48,600,600,4439.498,57761.52,600,600,12638.5,89146.98,81837.31,600,28780.94,600,600,600,600,600,17035.22,600,600,19051.45,34359.63,600,70319.95,83336.21,600,65881.08,600,67639.81,600,5968.53,44891.85,36886.03,600,600,600,600,63099.48,70099.3,6184.545,10568.71,600,600,20890.63,600,600,600,48630.43
1704_6.771_1206.5345,600,600,600,600,600,600,600,600,600,600,600,600,129301.9,600,109929.8,42129.24,600,600,600,600,600,94304.59,27767.69,600,600,600,600,600,600,600,600,142873.8,134296.8,600,600,600,35975.74,600,600,600,600,600,600,600,600,600,600,78075.13,600,600,600,600,600,600,600,600,600,600,600,10521.7,119828.4,117728,19922.6,101638.8,600,99467.29,600,600,600,80251.95,600,187696.8,600,195093.1,600,600,67091.12,600,57372.38,72865.27,600,600,81450.63,600,600,600,81301.45,76354.4,600,600,123007.2,600,91214.13,600,57728.42,600,600,600,600,132707.3,20244.44,22728.96,600,45187.88,600
1705_7.08_1206.558,15164.07,14249.11,600,12697.25,16905.13,600,600,600,600,13716.38,19336.29,600,600,600,600,13895.85,115738.5,600,126411,600,600,14642.71,17721.53,16746.84,13669.62,12109.35,149691.5,600,15213.63,600,21574.87,37995.13,39027.35,600,600,10427.1,600,16983.02,144529.5,9588.434,600,600,600,600,600,95845.16,600,18218.74,600,114904.1,600,600,600,11777.99,139707.1,600,32302.83,115758.4,17085.24,600,600,600,600,95868.92,600,42125.9,600,95688.84,49368.92,600,27195.91,29278.83,209426,600,600,165360.5,179603,163766.4,141059.1,31483.81,600,149346.3,600,18800.89,124915.7,13102.92,600,15945.96,600,29296.98,600,107811.9,600,600,600,121495.5,600,600,108517.1,600,31269.07,600,114604.3,105075.1,600
1706_6.368_1208.5433,600,600,84407.29,58726.96,600,11570.42,88098.47,54199.21,600,16030.45,600,600,600,8635.726,600,110296.4,103940.5,85141,102602.7,97682.34,600,142047.4,57425.51,53520.75,83674.34,102397.5,101288.3,600,17023.53,600,112379.5,110119.7,600,135130.6,600,42730.02,600,43684.05,112317.4,600,11998.82,110487.6,101812.8,86970.97,159997.2,96923.01,600,104483.3,600,100804.6,97764.09,600,600,14657.19,600,118800.3,122009.4,124493.1,600,600,94335.16,600,600,600,600,600,96906.14,110130.8,69320.31,142480.1,600,600,88120.45,97331.25,600,600,113558.6,600,95764.97,103299.3,105620.4,600,113584.3,103783.5,90462.75,600,5287.478,600,600,77356.41,600,86257.93,600,96684.2,100157.6,69882.27,83847.91,89169.77,600,600,600,87358.18,113070.1,109323,105748.7
1707_6.913_1210.5625,173683.2,28933.83,600,600,14356.27,600,163165.4,600,600,31927.42,186034,600,94265.7,160069.4,600,170792.5,204644.7,600,169717.7,600,145869.6,211720.6,82743.82,36566.86,173707.7,182641.2,600,71125.33,30017.22,600,600,600,99861.52,133758.2,600,600,600,600,201646.7,600,600,208830.8,71175.17,177524.6,600,600,600,600,25205.61,180040.3,600,56105.66,600,600,199263.2,600,10786.54,600,33257.89,92573.38,87827.02,65084.29,92161.66,59469.75,56485.98,101867.3,43425.15,600,600,121747.8,600,103906.1,71834.98,600,600,600,600,600,600,140026.6,180861.4,23535.1,600,150154.1,67109.28,600,171602.8,600,111958.7,600,102152,600,600,600,175774.3,164643.3,600,110406.2,600,600,600,600,73843.79,600,600
1708_6.873_1214.5605,600,16857.32,600,349160.4,138631.7,299389.1,600,600,600,600,416400.7,600,600,429492.1,600,600,600,70237.68,13969.4,4060.622,600,600,18203.3,9364.947,101978.2,600,600,18552.32,600,600,11753.26,600,419400.9,600,8192.223,36904.54,396522.5,391641.5,600,319126.1,600,15222.83,59426.62,600,600,17408.77,600,369982.5,600,600,600,600,600,401524.8,600,600,600,600,25656.28,600,600,600,600,600,600,600,600,374920.4,600,404095.9,600,62008.61,600,48777.95,600,600,600,600,19516.23,600,600,430349.9,600,600,348145.7,366844.8,600,70907.93,600,600,600,600,600,600,386816.7,600,55160.07,600,600,22192.61,600,28242.04,600,600,332896.5
1709_6.85_1214.5823,108239.7,16568.41,600,113592.6,37349.55,30443.05,600,600,78646.24,600,600,600,600,600,158868.7,108800.3,600,600,600,600,600,144580.3,600,600,600,600,600,600,600,600,600,600,600,600,600,59138.36,23589.57,600,117323.3,600,600,130086.9,600,600,600,600,113090.1,600,600,150786.6,4739.015,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,125321.7,600,600,600,600,600,600,600,600,600,600,600,600,600,567412.4,600,600,600,600,600,600,600,600,600,75924.38,600,219712.5,600,600,600,600,600,600,600,600
1710_6.762_1219.5386,600,600,600,600,600,600,60211.86,600,600,600,65029.57,600,86509.42,82971.16,90918.23,600,60339.85,62406.79,89168.6,600,600,63595.89,30893.63,600,600,600,600,600,600,600,77518.16,105171.3,83841.38,97528.69,600,600,600,13701.38,100503.4,16745.88,5029.053,59614.63,600,16837.44,59561.87,600,77018.88,60349.24,600,600,58819.23,600,600,9980.191,71993.59,600,48028.95,600,600,600,600,91098.3,105204.6,600,10658.9,83334.52,65268,600,62200.67,5709.106,600,128705.6,17286.15,600,45268.38,20288.43,53381.77,4500.811,600,111243.5,600,600,64134.87,63423.9,600,57956.82,82436.77,600,600,600,43785.69,19073,600,45295.82,600,600,23517.19,600,600,600,600,14094.23,61199.83,600,600
1711_6.585_1222.5579,600,600,600,600,600,69441.44,80159.02,93651.19,79347.24,600,600,94105.7,600,5799.516,600,70275.61,600,600,600,600,600,600,600,51760.62,600,600,600,65864.67,600,63397.58,600,600,600,600,600,600,600,20290.46,600,600,600,97591.83,600,87726.29,600,40758.23,600,600,60334.09,48101.59,81725.11,600,96726.28,600,101715.5,57684.75,600,102906.5,42237.29,52754.3,64335.34,600,600,600,45819.1,42645.61,600,600,600,600,83676.61,78016.15,600,600,101769.9,96237.52,100110.9,600,56265.51,91512.74,600,600,74317.98,600,92287.48,600,600,600,102985.7,600,600,600,600,53371.44,103988.8,600,600,103984.5,600,54970.91,600,84403.8,600,74493.04,600
1712_6.596_1222.5583,600,600,136183.1,168783.5,600,600,600,600,600,600,600,600,126492.2,600,600,105945.2,172538.8,190958.1,600,600,600,600,600,30665.75,600,600,600,600,600,600,125477.6,600,600,600,112071.4,8920.505,118476.4,600,600,600,600,600,600,600,167775.5,600,600,128585.7,600,153579.6,600,600,600,600,600,125345.8,600,84780.54,600,600,600,124886.8,192567.3,178613.8,600,600,120414.4,600,600,600,600,600,600,600,600,76029.55,600,600,110378.2,18609.55,600,600,600,112930.7,600,600,600,600,600,126805,600,600,600,600,124429.9,600,119930.9,600,600,600,600,600,118380.8,600,600
1713_7.256_1223.0879,99145.18,600,103096.2,600,55160.48,600,83465.37,600,70959.98,600,107143.2,600,600,121848.8,600,600,133306.4,127461.8,71145.74,113879.9,79580.01,148428.8,600,73047.62,96212.48,134313.6,135456.3,600,600,58579.41,147269.2,115714,600,600,24773.81,600,600,14532.43,124169.9,92510.99,22812.66,125031.7,105930.3,600,121028.3,120596.7,117419.7,102300.4,70322.2,120586.9,600,600,122968.9,600,123136.4,87533.57,600,600,600,40942.84,600,600,600,108778.3,600,600,600,600,60594.96,108896.8,600,215437.4,115138.9,600,141203.7,117915.7,600,112575.5,600,124325,600,103351.3,113876.6,77309.94,95903.66,106843.4,83140.29,600,109327,4541.061,600,17607.52,48116.52,95122.34,119104.6,95904.69,122678.8,600,119893.8,100427.9,600,101189.4,600,600,46660.95
1714_7.256_1223.0908,600,72809.52,600,97372.27,600,600,600,88898.21,5489.214,64534,600,67923.91,93462.81,600,94454.45,84339.4,600,600,600,600,600,600,51742.95,600,600,600,600,71367.66,8695.728,600,9033.783,600,90410.47,102864.9,600,54512.7,92169.44,600,600,600,600,600,600,98373.59,600,600,600,600,600,12293.65,95552.16,600,600,75284.43,600,600,103174.8,102993.2,72826.81,600,101098.2,98163.97,95525.81,600,600,99671.13,96111.6,74320.36,600,600,86039.17,600,600,97093.86,600,600,86349.55,600,96499.05,600,106168.3,600,600,600,600,600,600,67336.05,600,121896.4,99447.16,79523.24,600,600,600,600,600,96405.59,600,600,93819.44,600,42873.92,66761.11,600
1715_6.768_1224.5739,600,28851.09,600,85163.61,18424.12,600,600,600,600,600,70603.91,25313.96,600,64995.58,600,94518.09,600,600,600,78901.92,28967.82,600,27741.94,70505.08,20174.93,600,114184.6,600,24874.08,27691.16,77134.2,600,82400.68,600,600,24430.3,72427.66,50124,600,600,600,45524.02,45764.71,53747.93,55374.3,89113.7,600,600,600,600,600,600,600,23356.5,73349.38,40664.83,68671.27,600,35614.14,21939.4,95595.26,86953.79,45627.91,600,600,600,600,46513.52,55927.36,600,22923.2,600,92280.95,31390.77,77457.77,45736.71,600,38186.07,600,600,600,70452.63,600,600,600,600,600,600,73167.27,600,600,74515.17,49149.31,600,49578.75,26135.47,60111.77,600,600,45011.85,600,64932.61,600,600,27842.8
1716_6.815_1226.5921,1286735,803816.1,1344106,1160796,1166942,903309.8,1331684,1148567,1095504,1187957,1300197,994019.8,1463281,1509110,1417256,1381024,1506152,1511294,1451445,1378861,795841.2,1642895,1358496,600,1313275,1467116,600,889568.3,600,1134343,1584142,1579026,600,1403909,600,961368.7,1454085,600,600,600,963865.6,1496752,600,1331534,1579994,1254373,1445171,1239390,600,1560835,1289517,600,1431669,600,1338123,1433320,1281394,600,1221235,600,1449129,1487667,1421305,1407269,600,1397108,1321427,1311279,1144662,1351681,1053455,1144280,1304548,1455952,600,600,1297581,1375731,1220978,1259727,1351671,600,1289705,1225310,600,600,600,1370885,600,1278402,1152805,600,600,600,600,1145191,1351867,600,1519986,600,1417002,1217529,774508.9,1062854,809102.4
1717_6.954_1228.6081,600,600,8838.278,600,600,600,600,600,80941.33,10610.67,600,600,600,600,600,600,600,600,600,4554.057,600,600,24062.08,719530.4,600,600,1066720,23126.91,1031032,600,600,600,600,71049.38,1038.906,10654.47,600,979009.3,1117019,698232.1,13299.25,600,960062.3,600,600,18528.96,600,600,600,600,600,897840.9,600,16203.6,2212.539,600,33118.75,968585.9,600,600,600,8185.384,600,600,1017205,600,600,600,600,600,600,600,600,600,1015287,1043452,600,600,600,600,600,600,600,600,784835.8,766304.4,713591.3,600,840017.8,600,600,875075.1,507764.8,805939.9,926959.3,600,600,887726.4,600,906939.4,600,600,600,600,600
1718_7.248_1230.5678,600,600,102898.2,18530.14,600,26691.79,7657.06,600,600,600,600,600,102296.3,600,249006.3,600,13381.47,61926.04,600,600,10164.62,600,600,600,600,25171.5,97778.78,600,600,600,600,600,600,98420.88,600,19399.93,12509.48,600,600,600,63097.07,600,80729.38,37611.73,600,600,80560.36,600,116123.6,600,600,14920.29,161689.8,600,600,600,42546.61,600,600,20372.9,42472.96,600,123566.3,145885.3,600,600,83270.73,17925.6,75549.41,53369.69,600,600,33045.27,52075.27,600,600,21133.36,600,182567.4,600,600,126554.7,24258.66,600,600,24877.13,600,600,600,54606.65,4418.01,9790.723,103993.1,600,600,600,600,600,600,63416.17,165773.9,49249.68,600,26380.2,600
1719_7.036_1233.5541,600,600,158148.4,600,600,600,600,87978.43,109748.6,49819.76,79511.88,102319.6,174820.1,600,600,600,600,138403.9,600,102083.5,600,600,600,63674.59,600,600,600,78452.65,600,600,204697.8,204457.1,100360.1,600,152551.1,600,600,600,600,46847.98,600,600,99149.59,600,600,100809.4,600,187258.9,600,600,600,92087.84,600,56053.48,600,171585.8,198420.7,179198.2,98117.22,40024.09,205127.6,158444.4,600,600,136025.8,600,600,91062.91,89887.42,600,128835.2,600,600,120915.6,600,600,116126.9,600,600,600,600,600,105135.4,600,600,105000.6,600,79223.85,600,86675.05,600,600,600,65933.32,600,600,82492.11,600,600,600,600,123376.6,600,74411.09,600
1720_7.41_1233.578,21669.6,600,52503.97,600,600,600,23819.56,600,600,600,600,600,600,180294.8,29933.65,26326.93,600,600,600,600,35668.91,600,23875.11,39276.91,600,61827.61,600,600,600,600,600,14270.57,600,600,77208.08,600,68195.35,22901.03,600,600,600,68339.86,600,26988.62,43418.21,600,41989.7,23349.75,42733.76,600,22696.86,600,600,600,600,249484.4,600,74620.73,600,26779.93,600,36722.6,600,600,105099.2,600,35442.96,163466.2,600,10950.42,148892.7,600,600,600,600,192259,73133.69,600,121437.1,228264.1,600,107927.1,600,600,55422.43,600,600,600,600,600,600,600,600,600,600,29184.67,600,600,99707.41,600,600,600,600,600,600
